plant_variety_id,Plant_Name,Plant_Category,Display_Type_ID,Task_ID,Season_ID,Survival_Days,Survival_Rate,Total_Plants_Required,biological_sensitivity
1,African Violet,interior,4,"1, 2, 8, 10, 11",5,180,75%,100,0.4
2,Alyssum,perennial,"2, 3, 6","1, 2, 3, 5, 6, 7, 10, 11",3,120,78%,400,0.6
3,Anthurium,interior,4,"1, 2, 3, 5, 6, 7, 8, 10, 11",5,365,80%,150,0.4
4,Begonias,annual,"1, 2, 6","1, 2, 3, 5, 6, 7, 10, 11",3,120,78%,800,0.85
5,Black-Eyed Susan Vine,annual,"1, 2, 3, 6","1, 2, 3, 6, 7, 10, 11",3,120,72%,2000,0.85
6,Chrysanthemums,perennial,5,"1, 2, 3, 6, 7, 10, 11",4,14,80%,1200,0.6
7,Coneflowers,perennial,5,"1, 2, 3, 6, 7, 10",3,180,90%,5000,0.6
8,Crotons,interior,4,"1, 3, 6, 7, 8, 10, 11",5,180,60%,150,0.4
9,Daffodils,bulb,5,"1, 2, 4, 6, 7, 10, 11",1,30,75%,2500,1.0
10,Dahlia,perennial,5,"1, 2, 3, 6, 10, 11",3,120,70%,200,0.6
11,Geraniums,annual,"1, 2, 3, 6","1, 2, 3, 5, 6, 7, 8, 10, 11",3,150,88%,400,0.85
12,Hibiscus,perennial,5,"1, 2, 3, 6, 7, 10",3,60,85%,10,0.6
13,Hydrangeas,perennial,5,"1, 2, 3, 7, 10",3,365,88%,20,0.6
14,Impatiens,annual,5,"1, 2, 3, 5, 6, 7, 10, 11",3,120,75%,1200,0.85
15,Lantana,annual,"1, 2, 3, 6","1, 2, 3, 5, 6, 7, 10, 11",3,120,90%,2000,0.85
16,Marigolds,annual,"5, 6","1, 2, 3, 5, 6, 7, 10, 11",3,150,90%,1200,0.85
17,Monstera,interior,4,"1, 3, 6, 7, 8, 10",5,365,90%,50,0.4
18,Orchids,interior,4,"1, 3, 6, 7, 8, 10",5,365,70%,50,0.4
19,Pansies,annual,"3, 5","1, 2, 3, 5, 6, 7, 10, 11",2,90,80%,2400,0.85
20,Peace Lily,interior,4,"1, 3, 6, 7, 8, 10",5,365,85%,150,0.4
21,Petunias,annual,2,"1, 2, 3, 5, 6, 7, 8, 10, 11",3,120,78%,500,0.85
22,Philodendrons,interior,4,"1, 3, 6, 7, 8, 10",5,365,92%,200,0.4
23,Poinsettias,interior,4,"1, 8, 9, 11",5,17,65%,2000,0.4
24,Sage,perennial,5,"1, 2, 3, 6, 7, 10",3,180,92%,7500,0.6
25,Snake Plants,interior,4,"1, 3, 6, 7, 8, 10",5,365,95%,250,0.4
26,Snapdragon,annual,"3, 5","1, 2, 3, 5, 6, 7, 10, 11",3,120,75%,800,0.85
27,Sweet Potatoes,annual,"1, 2, 3, 6","1, 2, 3, 5, 6, 7, 10, 11",3,120,88%,2000,0.85
28,Tulips,bulb,5,"1, 4, 6, 7, 10, 11",1,30,40%,7500,1.0
29,Violas,annual,2,"1, 2, 3, 5, 6, 7, 8, 10, 11",2,90,82%,1200,0.85
30,Zinnias,annual,5,"1, 2, 3, 5, 6, 7, 10, 11",3,120,85%,10000,0.85
